x, y, 
-1.9999728611159127, -0.500000894285794, 
-1.999970388241522, -0.5000009080972108, 
-1.9999674291039355, -0.5000009211199475, 
-1.9999639867081023, -0.5000009333684426, 
-1.999960064002083, -0.5000009448594872, 
-1.9999556638674827, -0.5000009556097315, 
-1.999950789132372, -0.5000009656372105, 
-1.9999454425475622, -0.5000009749610582, 
-1.9999399903898474, -0.5000009839329734, 
-1.9999351685068723, -0.5000009926845743, 
-1.9999314950030127, -0.5000010010705447, 
-1.9999290250722752, -0.5000010092130424, 
-1.999927757140586, -0.5000010171897827, 
-1.9999276911350958, -0.5000010249919349, 
-1.9999288270612101, -0.5000010326090065, 
-1.999931164961525, -0.500001040031801, 
-1.9999346988502333, -0.5000010471996693, 
-1.9999390837878905, -0.5000010538862348, 
-1.999943677559892, -0.5000010599192012, 
-1.999947844797111, -0.5000010653282941, 
-1.9999515249379936, -0.5000010702268162, 
-1.9999547608278014, -0.5000010743713071, 
-1.9999574200055863, -0.500001077935803, 
-1.9999595183035002, -0.5000010810818643, 
-1.9999610742110239, -0.50000108352294, 
-1.9999621342864977, -0.5000010851664146, 
-1.9999627156977726, -0.5000010863148964, 
-1.9999627675683604, -0.5000010875433459, 
-1.9999623201383896, -0.5000010878498455, 
-1.9999613720233924, -0.5000010877073459, 
-1.9999599265670394, -0.5000010871578413, 
-1.9999579870103796, -0.5000010862274858, 
-1.9999555565092277, -0.5000010849430431, 
-1.9999526381638602, -0.5000010833309652, 
-1.9999492349970676, -0.5000010814169022, 
-1.9999453499617241, -0.5000010792261195, 
-1.9999412857431205, -0.5000010769737795, 
-1.9999375911019222, -0.5000010749572028, 
-1.9999347623548611, -0.5000010730304479, 
-1.9999330956671562, -0.5000010712814758, 
-1.9999326320936204, -0.5000010697620485, 
-1.99993337064768, -0.5000010685167214, 
-1.9999352747619619, -0.5000010674550491, 
-1.9999380342311086, -0.5000010664209338, 
-1.999941218423358, -0.5000010653348259, 
-1.9999443891482527, -0.5000010640901609, 
-1.999947170158156, -0.5000010625890331, 
-1.9999494317703295, -0.5000010609933755, 
-1.999951231739314, -0.5000010591913948, 
-1.9999524680537801, -0.5000010571754517, 
-1.9999531785173255, -0.5000010550137808, 
-1.99995337886031, -0.5000010526558438, 
-1.9999530828932623, -0.5000010501774974, 
-1.999952284898329, -0.5000010473942684, 
-1.9999509876975436, -0.5000010444786793, 
-1.9999491945805563, -0.5000010414461572, 
-1.9999469087520565, -0.5000010383135012, 
-1.999944182200274, -0.5000010351435353, 
-1.9999413670642427, -0.5000010321095332, 
-1.9999388419970516, -0.500001029314159, 
-1.9999369305196737, -0.5000010267781823, 
-1.9999358540369403, -0.5000010244953846, 
-1.9999357144749819, -0.5000010225562307, 
-1.9999364611683303, -0.5000010208985559, 
-1.9999379540362991, -0.5000010194461592, 
-1.9999399569017302, -0.5000010181662639, 
-1.9999421620118698, -0.5000010169414157, 
-1.999944273102263, -0.5000010155356295, 
-1.9999460100267776, -0.5000010140689141, 
-1.9999472256723028, -0.500001012568651, 
-1.9999479490236463, -0.5000010111004284, 
-1.9999481340245497, -0.5000010096888069, 
-1.9999478217189561, -0.5000010080503834, 
-1.9999470068585368, -0.5000010061911382, 
-1.999945692462337, -0.5000010042568156, 
-1.9999439917835693, -0.5000010023225359, 
-1.9999421637243318, -0.5000010005283448, 
-1.9999404818427828, -0.5000009988534685, 
-1.9999391339621218, -0.5000009973855662, 
-1.9999382955969678, -0.5000009961142752, 
-1.999938028012174, -0.5000009950931392, 
-1.999938353817173, -0.5000009943084838, 
-1.9999391834212192, -0.5000009936693847, 
-1.999940395819022, -0.5000009931931046, 
-1.9999417948453273, -0.5000009927944619, 
-1.9999432063387637, -0.5000009923006938, 
-1.9999444183259776, -0.5000009919502884, 
-1.999945283690778, -0.5000009915395217, 
-1.999945669315832, -0.5000009906003131, 
-1.9999455428947879, -0.500000990284499, 
-1.9999449760222923, -0.5000009895101036, 
-1.9999440917378475, -0.5000009887268607, 
-1.9999430316220965, -0.5000009878873636, 
-1.9999419217623113, -0.500000987262131, 
-1.9999409347644903, -0.5000009866376186, 
-1.9999401933356353, -0.5000009861034902, 
-1.9999397770225313, -0.5000009857737463, 
-1.9999397180947327, -0.500000985646037, 
-1.9999400122307964, -0.5000009855947496, 
-1.9999405859640136, -0.5000009856237684, 
-1.9999413686578584, -0.5000009856632085, 
-1.999942226501831, -0.5000009858788192, 
-1.9999430628044217, -0.5000009859704668, 
-1.9999437553090793, -0.5000009860578647, 
-1.9999442115533923, -0.5000009861048345, 
-1.9999443911194525, -0.5000009860719012, 
-1.999944289419373, -0.500000986128318, 
-1.9999439344218906, -0.5000009860226946, 
-1.9999433792149948, -0.5000009858288292, 
-1.9999427029463863, -0.5000009857569507, 
-1.9999420125855136, -0.500000985648066, 
-1.9999414001060019, -0.5000009856037854, 
-1.9999409540631592, -0.5000009855907638, 
-1.9999407002216407, -0.5000009857267222, 
-1.9999406800485724, -0.500000985859385, 
-1.999940861049985, -0.5000009860917685, 
-1.9999412301054365, -0.50000098642322, 
-1.9999417217532776, -0.5000009867632936, 
-1.999942270260498, -0.5000009871039728, 
-1.9999427964783747, -0.5000009874339807, 
-1.9999432327301667, -0.5000009876780255, 
-1.9999435267850145, -0.500000987850086, 
-1.9999436362217273, -0.5000009881505054, 
-1.9999435450212593, -0.5000009883301013, 
-1.9999433068210757, -0.5000009884527602, 
-1.9999429518436287, -0.5000009883937019, 
-1.9999425016380297, -0.5000009886072585, 
-1.999942060870175, -0.5000009886189933, 
-1.999941666795922, -0.5000009888035464, 
-1.9999413829031119, -0.500000988937053, 
-1.9999412315910146, -0.5000009890758605, 
-1.9999412209591871, -0.5000009893713535, 
-1.999941367405871, -0.5000009895316623, 
-1.9999416131168406, -0.5000009898833029, 
